STATE,group,X,Y
CO,98,-107.55642768041778,40.50612775101599
CO,107,-108.57595784178355,37.35932344530805
CO,110,-107.89029066466595,38.487175481336394
CO,113,-103.53958182320369,37.98669677717573
CO,115,-104.61076953810208,38.27525100336855
CO,118,-105.98890813633777,39.22361356974138
CO,378,-104.63352384985012,38.28953752671551
CO,384,-107.91191303178678,40.03834450739882
CO,388,-106.35047201974767,37.67651795362826
CO,394,-106.86091709082778,40.501925938379166
CO,406,-106.13792918863722,38.085249575538064
CO,407,-107.9060729045525,37.94599773336806
CO,408,-106.04698439217364,39.491327250648716
CO,415,-105.15130831853382,38.943029723627944
CO,424,-103.19215253016536,40.15833298293582
CO,431,-104.71037808932519,40.45084260230961
CO,436,-102.22037072108628,40.07853263135271
CO,852,-102.61400605773336,37.41289005043168
CO,853,-105.232278331405,40.03386637347859
CO,931,-107.01192187647958,37.26601772692638
CO,1136,-104.79775078684258,39.99081645809688
CO,1142,-105.87600940706452,37.45528178230155
CO,1143,-104.83264885123423,39.581540790901585
CO,1170,-105.99857525638322,38.53835236345811
CO,1178,-106.00533196105951,37.08591314425229
CO,1186,-105.42607207876156,37.198430156681056
CO,1187,-103.75615758775808,38.221975576775925
CO,1195,-105.46239831137113,38.13439768048177
CO,1204,-104.86221939335903,39.76623046677419
CO,1219,-104.99348753759914,39.73925433599381
CO,1225,-104.86449429881922,39.40211514314662
CO,1228,-106.81804494607061,39.663864285816835
CO,1236,-104.7774974843131,38.78532351917697
CO,1244,-104.82458433495725,38.83075612611716
CO,1258,-105.18196314187539,38.44628137809593
CO,1276,-107.32698908047847,39.54731782981466
CO,2829,-105.09820174858508,38.35906049477419
CO,3041,-104.46414784134129,39.342371409525384
CO,3272,-105.10478447978244,39.64277965903801
CO,3366,-103.69168538112031,39.21808521857053
CO,3470,-105.15550776195177,38.43860235237901
CO,3548,-108.0726831548741,38.73963436734965
CO,3550,-102.2715439077664,39.30296147240579
CO,3552,-103.17858397909896,40.62236706549976
CO,3568,-104.78212098206824,37.62409153983233
CO,3597,-103.78933588680717,40.25207262327297
CO,3599,-105.14833220167002,39.90782729513329
CO,3719,-102.61832399825613,38.08658902483903
CO,3802,-105.69854597024222,39.70586566103447
CO,3805,-104.81428488122759,39.71219355325054
CO,3810,-104.82001098475199,38.89045844996753
CO,3821,-102.30131469178593,40.58419721853955
CO,3822,-106.81720790112767,39.191029314459165
CO,4031,-105.24869508117297,38.43802316688522
CO,4032,-105.17134303872024,39.734937358591175
CO,4033,-108.14861118480468,38.70911616762407
CO,4034,-106.1147134908113,38.82210118175681
CO,4035,-105.16033538875783,38.4263898972672
CO,4036,-105.14785086701691,38.429769828469084
CO,4037,-107.77904877297428,39.65016625741045
CO,4038,-104.62977218338314,38.282117094722956
